#SampleID	Date	EarlyDate	AdjustedEarlyDate	LateDate	AdjustedLateDate	BlockPeriod	BlockPeriodByEarlyDate	BlockPeriodSimplified
Oakington15811	450-600	450	450	600	600	EarlyAngloSaxon	400-700	Anglo-Saxon or Early Medieval Britain
Oakington16496	450-600	450	450	600	600	EarlyAngloSaxon	400-700	Anglo-Saxon or Early Medieval Britain
Oakington16500	450-600	450	450	600	600	EarlyAngloSaxon	400-700	Anglo-Saxon or Early Medieval Britain
Oakington16540	450-600	450	450	600	600	EarlyAngloSaxon	400-700	Anglo-Saxon or Early Medieval Britain
Linton16497	690-900	690	690	900	900	ND	400-700	Anglo-Saxon or Early Medieval Britain
Linton16499	690-900	690	690	900	900	ND	400-700	Anglo-Saxon or Early Medieval Britain
Linton16529	690-900	690	690	900	900	ND	400-700	Anglo-Saxon or Early Medieval Britain
HillOfRoseisle15916	U	U	U	U	U	NA	NA	U
IsleOfLewis15931	U	U	U	U	U	NA	NA	U
IsleOfPamona15920	U	U	U	U	U	BronzeAge	BronzeAge	Pre-Roman Britian
Kirkhill15923	U	U	U	U	U	Early medieval	Early medieval	Anglo-Saxon or Early Medieval Britain
Kirkhill15924	U	U	U	U	U	Early medieval	Early medieval	Anglo-Saxon or Early Medieval Britain
KirkwellCathedral15913	U	U	U	U	U	Viking	Viking	Pre-Roman Britian
KirkwellCathedral15914	U	U	U	U	U	ND	ND	U
KirkwellCathedral15915	U	U	U	U	U	Viking	Viking	Pre-Roman Britian
SkaeBrae15919	U	U	U	U	U	ND	ND	U
StNiniansIsle15925	U	U	U	U	U	ND	ND	U
StNiniansIsle15927	U	U	U	U	U	ND	ND	U
StNiniansIsle15928	U	U	U	U	U	ND	ND	U
StNiniansIsle15929	U	U	U	U	U	ND	ND	U
