Genomic Island	16811_Medieval_SpitalSquare_NRF88	16813_Medieval_SpitalSquare_NRF88	16814_Medieval_SpitalSquare_NRF88	16818_Medieval_SpitalSquare_NRF88	16821_Medieval_SpitalSquare_NRF88	16825_Medieval_SpitalSquare_NRF88	16828_Medieval_SpitalSquare_SSQ88	16829_Medieval_SpitalSquare.SSQ88	16830_Medieval_SpitalSquare.SSQ88	16839_Medieval_MertonPriory_MPY86	16847_Medieval_MertonPriory_MPY86	16850_Medieval_MertonPriory_MPY86	16853_Medieval_MertonPriory_MPY86	16860_Medieval_MertonPriory_MPY86	16862_Medieval_MertonPriory_MPY86	16873_Medieval_MertonPriory_MPY86	16881_Medieval_MertonPriory_MPY86	16886_Medieval_MertonPriory_MPY86	16887_Medieval_MertonPriory_MPY86	16897_PostMedieval_CrossBones_REW92	16901_PostMedieval_CrossBones_REW92	16906_PostMedieval_StBenetSherehog_ONE94	16913_Medieval_StBenetSherehog_ONE94	16914_Medieval_StBenetSherehog_ONE94	16916_Medieval_StBenetSherehog_ONE94	16918_Medieval_StBenetSherehog_ONE94	16936_Medieval_MertonPriory_MPY86	16937_Medieval_StMaryGraces_MIN86	16942_Medieval_StMaryGraces_MIN86	16955_Medieval_GuildhallYard_GYE92	18502_Pictish3	BreedonOnTheHill12857	BreedonOnTheHill12861	Hinxton16489	IsleOfPamona15920	Linton16499	Oakington15810	Oakington16500	Raunds8338	Raunds8346	Raunds8347	StBrides12850	StBrides12866	StBrides12867	StHelensOnWalls8873	StHelensOnWalls8875	StNiniansIsle15928	StNiniansIsle15929	Yorkshire8892	Yorkshire8893	Yorkshire8895
GI-51	0.6468458	0.922125	0.7464533	0.5662541	0.3773015	0.2967099	0.7573196	0.5584063	0.6057953	0.414428	0.5215816	0.3184425	0.7715062	0.7099306	0.4431029	0.851796	0.5424087	0.5321461	0.6718986	0.7524902	0.5946272	0.92786	0.6507697	0.5176577	0.680652	0.6130396	0.9547238	0.6163598	0.7687896	0.5946272	0.1122849	0.975249	0.3963175	0.887715	0.5925143	0.7754301	0.7524902	0.6356776	0.7669786	0.7189858	0.1717477	0.6266224	0.6145487	0.7144582	0.8170842	0.8804709	0.6737096	0	0.6555992	0.8237247	0.7935406
GI-52	0	0.518755	0.1029529	0	0.075818	0.113328	0.1652035	0.3136472	0.7150838	0.2442139	0	0.1971269	0.2466081	0.4197925	0.2035116	0.1077414	0	0.0654429	0.1452514	0.0790104	0	0	0	0.4118116	0	0	0.3216281	0.1540303	0.1436552	0.5339186	0.3120511	0.2370311	0.3527534	0.1396648	0.2114924	0.0997606	0.28332	0.1189146	0.0893855	0.2474062	0.1157223	0.2729449	0.0351157	0.2202713	0.4229848	0.2282522	0.0853951	0.0981644	0.2952913	0.0606544	0.1915403
GI-53	0.3993921	0.8474164	0.0300912	0.1516717	0.5179331	0.3896657	0.6075988	0.7075988	0.8142857	0.7015197	0.9273556	0.6009119	0.3805471	0.6571429	0.6407295	0.6322188	0.4273556	0.6382979	0.8346505	0.3270517	0.5036474	0.5726444	0.3844985	0.637386	0.2601824	0.9446809	0.0446809	0.1407295	0.5364742	0.8325228	0	0.6048632	0.7544073	0.9006079	0.4179331	0	0.4492401	0.5972644	0.6598784	0.7620061	0.5142857	0.3264438	0.2848024	0.3273556	0.7413374	0.9006079	0.5085106	0.4796353	0.6604863	0.9337386	0.9328268
GI-54	0.8866554	0.7975918	0.7235546	0.4558662	0.4114837	0.5729923	0.3391382	0.1798189	0.36531	0.2958503	0.4925863	0.249179	0.7243507	0.4103891	0.5252264	0.8295353	0.4825356	0.8079411	0.3656085	0.6877301	0.6995721	0.8268484	0.622649	0.5120907	0.2274853	0.7213653	0.9293462	0.7892327	0.4710917	0.791024	0.2211165	0.9813912	0.6730023	0.9710419	0.8260524	0.7447507	0.9283511	0.8929247	0.8772017	0.8825754	0.2292765	0.6421534	0.4607424	0.5927953	0.8142104	0.9703453	0.8563041	0.7254453	0.9758185	0.9055628	0.9834809
GI-55	0.965966	0.994995	1	0.2232232	0.8388388	0.4024024	0.972973	0.3113113	1	1	0.982983	0.8768769	0.5885886	0.9269269	0.5375375	0.3903904	0.5475475	0.9369369	0.8998999	0.8318318	0.4784785	1	0.4814815	0.9499499	0.6826827	0.975976	0	0.4944945	0.4184184	1	0.7557558	0.8528529	0.8288288	0.988989	0.9009009	0	1	0.8428428	0.8138138	0.6036036	0.8418418	0.6786787	0.3263263	0.4424424	0.9109109	1	0.8788789	0.7437437	0.9469469	1	0.9479479
GI-56	0.7690513	0.8655505	0.6222222	0.8718417	0.7084728	0.5161847	0.8998478	0.6013191	0.808625	0.4524607	0.7275495	0.6761035	0.6915271	0.7350584	0.5726027	0.8443429	0.6688991	0.6188737	0.8351091	0.7314054	0.4995434	0.8511416	0.6221207	0.654896	0.6846271	0.5910705	0.8625063	0.6967022	0.8263825	0.5258244	0.2091324	0.8562151	0.5128361	0.9645865	0.8060883	0.7533232	0.8641299	0.4659564	0.7774734	0.7229832	0.2452562	0.7705733	0.3950279	0.4696093	0.7758498	0.8535768	0.7888381	0.0173516	0.0910198	0.8581431	0.4089295
GI-5-	0.5200243	0.5614887	0.03661	0.1203479	0.0206311	0.3462783	0.6284385	0.2131877	0.1415858	0.0625	0.3118932	0	0.4383091	0.4122168	0.4447815	0.5774676	0.0218447	0.2184466	0	0.4370955	0	0.6375405	0.2014563	0.2455502	0.2914644	0	0.6875	0.1134709	0.072411	0.0264968	0.0226537	0.3369741	0.1541262	0.6794094	0.5206311	0.029733	0.6462379	0	0.5707929	0.3232201	0	0	0	0.0161812	0.335356	0.6167071	0.6300566	0	0	0.0756472	0.2922735
GI-6	0.0050661	0.0104468	0.0353996	0	0.1545312	0.0040592	0	0.0020768	0.0068597	0.0192889	0.022939	0.0012587	0.0085588	0.003713	0.0015104	0.0056325	0.0016677	0	0.0014475	0.2435809	0.4791378	0	0	0.0053178	0.0059471	0	0.0022026	0.0045941	0.0999056	0.031781	0.0111705	0.0028634	0.0210195	0.0733166	0.0058842	0.006545	0.0073317	0.0167716	0.0055381	0.0067023	0.0029264	0.3784456	0.4282882	0.6238515	0.0015733	0.0024858	0.0039018	0.0480491	0	0.003776	0.0034613
GI-7	0	0.7829912	0	0	0.3841642	0.7536657	0	0	0.7624633	0	1	0	0	0.2170088	0.1290323	0.1730205	0.0205279	0.4105572	0.7214077	0.5689149	0.4897361	0.8064516	0.1378299	0	0.2434018	0.9648094	0.4281525	0	0	0.4926686	0.1524927	0.9472141	0.3284458	0	0.0351906	0.1085044	0.4340176	0.6187683	0.8856305	0.5718475	0.1612903	0	0	0.2727273	0.9912024	0.9560117	0.3548387	0	0.4076246	1	1
GI-8	0.1231343	0.3190298	0	0.8992537	0.4925373	0.1212687	0.113806	0.5764925	0.7929105	0.1436567	0.4570895	0.0802239	0.1044776	0.1100746	0.1902985	0.3619403	0.1231343	0.1175373	0.5597015	0.0690299	0.5130597	0.2649254	0.1231343	0.1455224	0.1343284	0.3507463	0.3115672	0.2537313	0.5895522	0.0783582	0.1567164	0.2070896	0.1268657	0.494403	0.1697761	0.2182836	0.1492537	0.3097015	0.2164179	0.1175373	0.0858209	0.2817164	0.647388	0.8992537	0.3899254	0.2462687	0.0876866	0.0820896	0.0690299	0.1585821	0.2873134
GI-9	0	0.0024565	0.0167667	0.0026125	0.0048741	0.0046791	0.0122436	0.0042112	0.0229665	0.0211729	0	0	0.0030804	0	0.0032754	0	0.0036263	0.0348202	0.020705	0	0	0	0.0222257	0	0	0.020432	0.0047961	0.0077205	0.0046401	0	0	0.0090073	0.0056929	0.0765032	0.0303361	0.1007954	0	0.041332	0.1091398	0.0547454	0.0349372	0.0014817	0	0.0551743	0.0020666	0.0760742	0	0	0	0.0087733	0
